"","x","y","CD","id","r"
"104",103.5558,-16.37046,22.66,"ww3",104.841764932929
"105",128.7058,-16.31536,22.87,"ww3",129.735785061677
"106",-122.865,15.4341,22.17,"ww3",123.830608767824
"107",-97.71496,15.48911,22.02,"ww3",98.9349581108402
"108",-72.56494,15.54413,22.36,"ww3",74.2111210982593
"109",-47.41496,15.59916,22.46,"ww3",49.9150500801832
"110",-22.26493,15.65422,23.1,"ww3",27.217305372011
"111",2.885103,15.70927,22.81,"ww3",15.9720062375867
"112",28.03511,15.76432,22.52,"ww3",32.1633514698717
"113",53.18509,15.8194,21.24,"ww3",55.4879015161693
"114",78.33511,15.87446,22.28,"ww3",79.9273916689623
"115",103.4851,15.92954,22.48,"ww3",104.703945325005
"116",128.6351,15.98462,22.86,"ww3",129.62444610703
"117",-122.9357,47.73404,22.92,"ww3",131.877689201819
"118",-97.78564,47.78909,21.85,"ww3",108.838543325596
"119",-72.63563,47.84413,22.74,"ww3",86.976982707805
"120",-47.4856,47.89914,22.29,"ww3",67.4478303587269
"121",-22.33563,47.9542,22.66,"ww3",52.900715166592
"122",2.814388,48.00921,22.47,"ww3",48.0916315447776
"123",27.96441,48.0643,21.96,"ww3",55.6074200187178
"124",53.11443,48.11936,22.43,"ww3",71.6701854402129
"125",78.26444,48.17442,22.29,"ww3",91.9026512721477
"126",103.4144,48.22948,22.3,"ww3",114.107935168552
"127",-97.85635,80.0891,22.76,"ww3",126.452082521928
"128",-72.70629,80.14409,22.42,"ww3",108.209425502089
"129",-47.5563,80.19913,22.69,"ww3",93.2389517446807
"130",-22.40629,80.25415,21.92,"ww3",83.3232886040067
"131",2.743725,80.30922,21.79,"ww3",80.3560753389812
"132",27.89372,80.3643,22.76,"ww3",85.0675045474381
"133",53.04374,80.41934,22.48,"ww3",96.3374724560656
"134",78.19375,80.47438,22.37,"ww3",112.206899856679
"135",103.3437,80.5294,22.65,"ww3",131.01490218311
"136",-47.62699,112.4991,22.65,"ww3",122.165370204777
"137",-22.47698,112.5542,22.31,"ww3",114.776576737418
"138",2.673048,112.6092,21.94,"ww3",112.640921117728
"139",27.82303,112.6642,22.19,"ww3",116.048881769799
"140",52.97306,112.7193,21.82,"ww3",124.546319408699
"141",-47.14779,-113.6132,19.07,"ww4",123.007614870479
"142",-21.99781,-113.5656,19.05,"ww4",115.676484853907
"143",3.152197,-113.518,18.98,"ww4",113.561757074848
"144",28.3022,-113.4704,18.43,"ww4",116.946766526484
"145",53.45226,-113.4228,18.08,"ww4",125.386903857411
"146",-97.50902,-81.40839,17.42,"ww4",127.024938274941
"147",-72.35901,-81.36077,18.27,"ww4",108.882511098766
"148",-47.20898,-81.31318,19.5,"ww4",94.0240449797434
"149",-22.05898,-81.26559,19.17,"ww4",84.20626293031
"150",3.091048,-81.21799,18.86,"ww4",81.2767892905373
"151",28.24108,-81.17039,19.18,"ww4",85.9429509169804
"152",53.39111,-81.1228,18.7,"ww4",97.1160095291816
"153",78.54115,-81.0752,18.91,"ww4",112.880026126691
"154",103.6911,-81.02762,17.38,"ww4",131.595286473621
"155",-122.7202,-49.15599,17.8,"ww4",132.198936610398
"156",-97.57015,-49.10836,18.65,"ww4",109.231704156404
"157",-72.4201,-49.06075,18.94,"ww4",87.4735850104047
"158",-47.27011,-49.01316,19.49,"ww4",68.0937086124533
"159",-22.12009,-48.96558,18.99,"ww4",53.7301256870343
"160",3.029932,-48.91795,19.01,"ww4",49.0116957483326
"161",28.17996,-48.87039,18.63,"ww4",56.4129875503301
